celsius,datasheet_resistance_ohm,adc_raw_with_10k_series
-20,87430.00,3674.7
-19,82790.00,3653.7
-18,78440.00,3632.0
-17,74360.00,3609.6
-16,70530.00,3586.5
-15,66920.00,3562.6
-14,63540.00,3538.2
-13,60340.00,3512.8
-12,57330.00,3486.8
-11,54500.00,3460.1
-10,51820.00,3432.6
-9,49280.00,3404.2
-8,46890.00,3375.2
-7,44620.00,3345.3
-6,42480.00,3314.7
-5,40450.00,3283.3
-4,38530.00,3251.2
-3,36700.00,3218.1
-2,34970.00,3184.4
-1,33330.00,3149.9
0,31770.00,3114.6
1,30250.00,3077.6
2,28820.00,3040.1
3,27450.00,3001.5
4,26160.00,2962.5
5,24940.00,2923.0
6,23770.00,2882.4
7,22670.00,2841.6
8,21620.00,2799.9
9,20630.00,2758.1
10,19680.00,2715.3
11,18780.00,2672.1
12,17930.00,2628.8
13,17120.00,2585.0
14,16350.00,2540.9
15,15620.00,2496.6
16,14930.00,2452.4
17,14260.00,2407.0
18,13630.00,2362.0
19,13040.00,2317.7
20,12470.00,2272.6
21,11920.00,2226.8
22,11410.00,2182.3
23,10910.00,2136.6
24,10450.00,2092.6
25,10000.00,2047.5
26,9575.00,2003.0
27,9170.00,1958.8
28,8784.00,1915.0
29,8416.00,1871.4
30,8064.00,1828.1
31,7730.00,1785.4
32,7410.00,1742.9
33,7106.00,1701.1
34,6815.00,1659.7
35,6538.00,1618.9
36,6273.00,1578.6
37,6020.00,1538.8
38,5778.00,1499.6
39,5548.00,1461.2
40,5327.00,1423.2
41,5117.00,1386.1
42,4915.00,1349.4
43,4723.00,1313.6
44,4539.00,1278.4
45,4363.00,1243.9
46,4195.00,1210.2
47,4034.00,1177.1
48,3880.00,1144.7
49,3733.00,1113.1
50,3592.00,1082.2
51,3457.00,1052.0
52,3328.00,1022.5
53,3204.00,993.7
54,3086.00,965.7
55,2972.00,938.2
56,2863.00,911.5
57,2759.00,885.5
58,2659.00,860.1
59,2564.00,835.7
60,2472.00,811.6
61,2384.00,788.3
62,2299.00,765.5
63,2218.00,743.4
64,2141.00,722.1
65,2066.00,701.2
66,1994.00,680.8
67,1926.00,661.3
68,1860.00,642.2
69,1796.00,623.5
70,1735.00,605.4
71,1677.00,588.1
72,1621.00,571.2
73,1567.00,554.8
74,1515.00,538.8
75,1465.00,523.3
76,1417.00,508.2
77,1371.00,493.7
78,1326.00,479.4
79,1284.00,466.0
80,1243.00,452.7
81,1203.00,439.7
82,1165.00,427.3
83,1128.00,415.1
84,1093.00,403.5
85,1059.00,392.1
86,1027.00,381.4
87,995.50,370.7
88,965.40,360.5
89,936.30,350.6
90,908.30,341.0
91,881.20,331.6
92,855.00,322.5
93,829.70,313.7
94,805.20,305.2
95,781.60,296.9
96,758.70,288.8
97,736.60,280.9
98,715.20,273.3
99,694.50,265.9
100,674.40,258.7
101,655.80,252.0
102,637.60,245.4
103,619.90,239.0
104,602.60,232.7
105,585.80,226.6
106,569.40,220.6
107,553.50,214.8
108,538.00,209.1
109,522.90,203.5
110,508.30,198.1
111,494.10,192.8
112,480.30,187.7
113,466.90,182.7
114,453.90,177.8
115,441.20,173.0
116,429.00,168.4
117,417.10,164.0
118,405.50,159.6
119,394.40,155.4
120,383.50,151.2
121,373.00,147.3
122,362.80,143.4
123,353.00,139.6
124,343.40,136.0
125,334.10,132.4
